RespondentId,Q1,Q2,Q3Tensorflow,Q3PyTorch,Q3Keras,Q3JAX,Q3Others,Q3OthersOther,Q4,Q5FreeText,Q6FreeText,Q7FreeText,Q8,Q9,Q10FreeText,Q11FreeText,Q12,Q13,Success,Time,Q14FreeText,Mental,Temporal,Performance,Effort,Frustration,Q20,Q21Errorhandling,Q21Testcases,Q21Inputpreparation,Q21Documentation,Q21Step-by-stepstructure,Q21Modelconfiguration,Q21Environmentsetup,Q22FreeText,Q23FreeText,Q24
9877906,6,3,1,1,1,0,0,,"Yes, frequently (more than once a month)","Memory leaks, shape mismatches, version compatibility","Environment setup, version conflicts","TensorFlow 2.x removed the contrib module, which was present in TF 1.x. The code is trying to use legacy functionality.",Yes,8,"Ran provided code, confirmed TF version, observed expected error",Shape mismatch during commit loss calculation due to incorrect tensor reshaping when mask is applied,Yes,12,1,10,"Installed package, ran reproduction code, observed warning message",2,2,4,2,1(Very Low),5(Highly Useful),1,1,1,1,1,0,0,None - code was comprehensive,None needed,Yes
9877911,4,2,1,1,0,0,0,,"Yes, occasionally (every few months)","GPU out of memory, dimension mismatch",Reproducing exact hardware conditions,Attempting to import deprecated tensorflow.contrib module in TF 2.x where it's been removed,Yes,5,"Executed reproduction code, verified error message matches reported issue",Mask operation causes reshape that creates tensor size mismatch during commit loss calculation,Yes,15,1,10,"Set up environment, ran code, observed warning about shape mismatch",2,2,5(Very High),2,1(Very Low),5(Highly Useful),1,0,1,0,1,0,0,Could include requirements.txt,Package version requirements,Yes
9877912,8,4,1,1,0,1,0,,"Yes, frequently (more than once a month)","Framework version conflicts, loss computation errors",Inconsistent behavior across different hardware,Code base still references tensorflow.contrib which was removed in TF 2.x migration,Yes,6,"Followed reproduction code, confirmed error matches issue description, verified TF version",Tensor broadcasting issue during commit loss calculation when using masked input,Yes,10,1,8,"Implemented test case, observed shape mismatch warning, verified loss computation",1(Very Low),1(Very Low),5(Very High),2,1(Very Low),5(Highly Useful),1,1,0,1,1,0,0,Add expected output examples,Hardware specifications used during testing,Yes
9877913,3,1,0,1,1,0,0,,"Yes, occasionally (every few months)","Model convergence issues, data loading problems",Understanding complex model architectures,Incompatibility between old code using tensorflow.contrib and TF 2.x where contrib was removed,Yes,10,"Set up environment, ran reproduction code, verified error message",Incorrect tensor shapes after masking operation affects commit loss calculation,Yes,18,1,14,"Installed dependencies, executed code, confirmed warning message, checked tensor shapes",3,2,4,3,2,4,1,0,1,1,0,0,0,More comments explaining expected behavior,Common workarounds,Yes
9877916,5,2,1,1,0,1,0,,"Yes, frequently (more than once a month)","Training instability, memory management",Replicating specific error conditions,Attempted use of deprecated tensorflow.contrib module that was removed in TF 2.x update,Yes,7,"Executed provided code, checked TF version, confirmed error matches description",Shape mismatch between original_input and quantized tensor during commit loss calculation due to masking,Yes,14,1,10.5,"Ran reproduction code, monitored tensor shapes, verified warning message",2,2,5(Very High),2,1(Very Low),5(Highly Useful),1,1,0,0,1,1,0,Include visualization of tensor shapes,Minimum working example without the bug,Yes
9877917,7,2,1,1,0,0,0,,"Yes, occasionally (every few months)","Loss computation errors, gradient issues",Time-consuming environment setup,Code attempting to import tensorflow.contrib which is no longer available in TF 2.x,Yes,6,"Set up environment, ran code, verified ModuleNotFoundError",Incorrect tensor broadcasting during commit loss calculation with masked input,Yes,11,1,8.5,"Implemented test case, observed shape mismatch warning, verified tensor dimensions",2,1(Very Low),5(Very High),2,1(Very Low),5(Highly Useful),1,0,1,1,1,0,0,Add debug logging options,Tested environment configurations,Yes
9877918,4,3,1,1,1,0,0,,"Yes, frequently (more than once a month)","Shape mismatches, version incompatibilities",Reproducing exact error conditions,TF 2.x compatibility issue due to removed contrib module previously available in TF 1.x,Yes,8,"Installed dependencies, ran reproduction code, confirmed error message",Masking operation leads to inconsistent tensor shapes affecting commit loss calculation,Yes,13,1,10.5,"Executed provided code, monitored shapes, verified warning appears",3,2,4,3,2,5(Highly Useful),1,1,1,1,0,0,0,Include more edge cases,Typical use cases where bug doesn't occur,Yes
9877919,6,4,1,1,1,1,0,,"Yes, frequently (more than once a month)","Model architecture bugs, loss computation errors",Hardware-specific issues,Attempting to use deprecated tensorflow.contrib functionality in TF 2.x environment,Yes,5,"Ran reproduction script, verified error message, checked TF version",Tensor shape mismatch between masked input and quantized output during commit loss computation,Yes,12,1,8.5,"Implemented test case, observed shape mismatch warning, analyzed tensor dimensions",1(Very Low),1(Very Low),5(Very High),2,1(Very Low),5(Highly Useful),1,0,1,0,1,1,0,Add performance profiling,Alternative implementation approaches,Yes
9877921,5,2,1,1,0,0,0,,"Yes, occasionally (every few months)","Memory leaks, initialization errors",System-specific behaviors,Incompatibility with removed tensorflow.contrib module in TF 2.x,Yes,7,"Set up environment, executed code, confirmed error message",Unable to determine root cause,No,25,0.5,16,Installed vector-quantize-pytorch  Ran reproduction code  Different behavior observed: no shape mismatch warning  Tried different mask configurations  Unable to trigger the reported warning  Possibly due to different package version or system configuration,3,3,4,3,3,3,1,0,0,1,1,0,0,Include version-specific instructions,Package version compatibility matrix,Yes
9877922,1,1,1,1,1,0,0,,"No, never","GPU compatibility, training instability",Version-specific behaviors,-,Yes,20,Set up TensorFlow environment  Ran reproduction code  Got different error related to object_detection import  Tried different TF versions  Checked system dependencies  Unable to reproduce specific contrib error  May be due to different package configuration,Tensor broadcasting issue during commit loss calculation with masked input,Yes,12,1,16,"Executed provided code, observed warning message, verified tensor shapes",4,3,3,4,3,4,1,1,0,1,0,0,0,Add environment setup troubleshooting,System requirements and dependencies,Yes
9877923,6,3,1,1,0,1,0,,"Yes, frequently (more than once a month)","Numerical instability, dimension mismatch",Hardware resource limitations,Attempt to use removed tensorflow.contrib module in TF 2.x environment,Yes,6,"Set up environment, ran code, verified ModuleNotFoundError matches description",Mask operation causes tensor shape mismatch during commit loss calculation,Yes,15,1,10.5,"Implemented test case, confirmed shape mismatch warning, analyzed tensor dimensions",2,2,5(Very High),2,1(Very Low),5(Highly Useful),1,0,1,1,0,1,0,Add input validation checks,Performance optimization suggestions,Yes
9877924,5,2,1,1,0,0,0,,"Yes, occasionally (every few months)","Memory management, batch size issues",Documentation inconsistencies,Code using deprecated tensorflow.contrib module not compatible with TF 2.x,Yes,8,"Executed reproduction code, verified error message, confirmed TF version",Tensor dimension mismatch during commit loss calculation after masking operation,Yes,14,1,11,"Ran test case, observed shape mismatch warning, verified tensor dimensions",2,2,4,3,3,4,1,1,0,1,1,0,0,Include more examples,Common troubleshooting steps,Yes
9877926,8,4,1,1,0,0,0,,"Yes, frequently (more than once a month)",-,-,tensorflow.contrib module removal in TF 2.x causing compatibility issue,Yes,7,-,Shape inconsistency between masked and quantized tensors during commit loss  ,Yes,19,1,13,"Implemented test case, verified warning message, checked tensor shapes",3,2,2,3,3,4,1,0,1,1,0,1,0,Add debug logging options,Best practices for similar implementations,Yes
9877927,4,2,1,1,0,0,0,,"Yes, occasionally (every few months)",-,Version conflicts,contrib module missing in TF 2.x,Yes,6,"Ran code, got ModuleNotFoundError",Shape mismatch in commit loss,Yes,12,1,9,"Ran code, got shape warning",2,3,4,3,2,5(Highly Useful),1,1,0,1,0,0,0,-,-,Yes